idiom_en,meaning_en,literal_en,sentence_en
Bailing out the ocean with a teaspoon,An impossible task; a tall tale or fabricated story,,
heartless person,A person with a cruel nature,,
cold-blooded individual,A person with a cruel nature,,
Drunk as a skunk,Intoxicated; drunk,,
Go to pieces,Divided or broken into many tiny pieces,,
Crumble to dust,Divided or broken into many tiny pieces,,
Smashed to smithereens,Completely pulverized and destroyed,,
Reduced to rubble,Completely pulverized and destroyed,,
Utterly ruined,Completely pulverized and destroyed,,
Eavesdropping,Listening secretly or eavesdropping without others' knowledge,,
Listening on the sly,Listening secretly or eavesdropping without others' knowledge,,
theft and robbery,Synonymous compound; theft and similar criminal acts,,
crime and misdemeanor,Synonymous compound; theft and similar criminal acts,,
itching to know,"Excessive eagerness or curiosity, especially meddlesome interest in others' affairs",,
Ask for trouble,Deliberately inviting one's own trouble,,
Court disaster,Deliberately inviting one's own trouble,,
Living on scraps,Filling one's stomach with worthless or insubstantial food,,
Making do with meager fare,Filling one's stomach with worthless or insubstantial food,,
hair turning gray,to grow old or become aged,,
getting on in years,to grow old or become aged,,
to have a few grey hairs (from experience),To accumulate extensive experience in a particular matter,,
to be a seasoned veteran,To accumulate extensive experience in a particular matter,,
fidget,To express restlessness; to fidget; to be restless; to squirm,,
fuss around,To express restlessness; to fidget; to be restless; to squirm,,
to gad about,to wander around restlessly or playfully,,
to flit from place to place,to wander around restlessly or playfully,,
to frolic,to wander around restlessly or playfully,,
catfight,pulling each other's hair (indicating a petty or intense quarrel),,
hair-pulling match,pulling each other's hair (indicating a petty or intense quarrel),,
hair-pulling fight,quarrel; heated argument,,
Meet your maker,To be placed on the funeral pyre; to be destroyed; to die - especially used as a curse towards women; synonymous with 'going to the door of Yama',,
By default,Out of necessity; reluctantly,,
Grudgingly,Out of necessity; reluctantly,,
As a last resort,Out of necessity; reluctantly,,
From start to finish,From beginning to end,,
From beginning to end,From beginning to end,,
Cover to cover,From beginning to end,,
be consigned to the flames,The calamity or trouble is removed or averted,,
master thief (sarcastically),"sarcastically, a notorious thief",,
Once in a blue moon (for rare celestial events),The auspicious conjunction for bathing in the Ganges during lunar and solar eclipses,,
Under a lucky star (for auspicious timings),The auspicious conjunction for bathing in the Ganges during lunar and solar eclipses,,
All show and no go,"Excessive adornment; pretentiousness, all show and no substance",,
icing on the cake,Beauty upon beauty; a union comparable to gold and jewels,,
cherry on top,Beauty upon beauty; a union comparable to gold and jewels,,
Stain one's reputation,To be humiliated; to be disgraced; to be criticized,,
Bring shame upon oneself,To be humiliated; to be disgraced; to be criticized,,
blush with embarrassment,To feel embarrassed or shy,,
lick one's plate clean,Nearly synonymous companion words; to lick completely; leaving absolutely nothing behind,,
eat up every scrap,Nearly synonymous companion words; to lick completely; leaving absolutely nothing behind,,
not leave a crumb,Nearly synonymous companion words; to lick completely; leaving absolutely nothing behind,,
all over,from head to toe; from top to bottom; the entire body,,
top to bottom,from head to toe; from top to bottom; the entire body,,
Red flag,Danger signal; Warning,,
Warning sign,Danger signal; Warning,,
love is blind,blinded by emotion,,
Feigning ignorance,Pretending not to know despite being aware,,
Playing dumb,Pretending not to know despite being aware,,
on familiar terms,Synonyms with the same meaning; mutual acquaintance or familiarity,,
acquaintances,Synonyms with the same meaning; mutual acquaintance or familiarity,,
know each other,Synonyms with the same meaning; mutual acquaintance or familiarity,,
To nag someone,To make a special request or to pester persistently,,
To buttonhole someone,To make a special request or to pester persistently,,
To hound persistently,To make a special request or to pester persistently,,
clam up,To remain silent without saying anything,,
button one's lip,To remain silent without saying anything,,
keep mum,To remain silent without saying anything,,
sit on it,to suppress or not allow to rise/surface,,
keep the lid on,to suppress or not allow to rise/surface,,
become entrenched,To remain established or settled for a long period,,
To plant oneself,To force oneself into a sitting position or to occupy a place stubbornly,,
To dig in one's heels,To force oneself into a sitting position or to occupy a place stubbornly,,
"Beg, borrow, or steal",By relying on others' help or assistance,,
Scraping by,By relying on others' help or assistance,,
Can't make heads or tails of it,"Beginning or end; start or finish, implying complete lack of understanding",,
Clueless from start to finish,"Beginning or end; start or finish, implying complete lack of understanding",,
Think twice,Considering one's own benefits and drawbacks,,
henchmen,Mischievous or evil people along with their followers; followers with wicked natures; a saint or ascetic and his group of devotees,,
guru and disciples,Mischievous or evil people along with their followers; followers with wicked natures; a saint or ascetic and his group of devotees,,
posse of troublemakers,Mischievous or evil people along with their followers; followers with wicked natures; a saint or ascetic and his group of devotees,,
topknot,"A small tuft of hair left on a shaved head, synonymous with topknot or choti, often worn by ascetics",,
choti (Hindi equivalent),"A small tuft of hair left on a shaved head, synonymous with topknot or choti, often worn by ascetics",,
Dawn of realization,Development of intellect,,
Awakening of the mind,Development of intellect,,
scurry away,with extreme speed; without looking in any other direction,,
bolt like a rabbit,with extreme speed; without looking in any other direction,,
make a dash for it,with extreme speed; without looking in any other direction,,
gulp down,onomatopoeic reduplicated word for quickly drinking liquid; in one breath and eagerly,,
slurp up,onomatopoeic reduplicated word for quickly drinking liquid; in one breath and eagerly,,
turn a blind eye after receiving favors,to express ingratitude or ungratefulness,,
eyes glazing over,Death; eyes becoming fixed or rolling back just before the moment of death,,
fly under the radar,to escape someone's notice or go unnoticed,,
escape notice,to escape someone's notice or go unnoticed,,
Eyes popping out of one's head,To be terrified or frightened,,
Wide-eyed with fear,To be terrified or frightened,,
Jaw dropping in surprise,Extremely surprised or astonished,,
Keep your eyes and ears open,To stay alert and vigilant,,
Stay on your toes,To stay alert and vigilant,,
Be on the lookout,To stay alert and vigilant,,
Suffer in silence,To silently endure all kinds of hardships and suffering,,
Daydreaming,Lack of attention or being inattentive,,
Spacing out,Lack of attention or being inattentive,,
go blind,eyes closing; inability to see; loss of eyesight,,
lose one's sight,eyes closing; inability to see; loss of eyesight,,
blind as a bat (used derogatorily),"Blind or sightless, a rural insult specifically for women",,
Keep one's eyes open,To be alert; to be aware; to be cautious,,
Open one's eyes,To be alert; to be aware; to be cautious,,
Wake up to something,To gain knowledge or to make someone aware/enlightened,,
See red (become angry),To make the eyes red or bloodshot,,
Bloodshot eyes (from crying or anger),To make the eyes red or bloodshot,,
Glare at someone,Casting angry glances all around; looking in anger,,
Shoot daggers with one's eyes,Casting angry glances all around; looking in anger,,
